order_id,product_id,product_name,category,price,quantity,order_date,customer_id,marketplace,order_status,payment_method,shipment_cost,city,state
8b1424e0-1f73-4229-91fa-299bde1e7941,8946,open,Books,236.75,5,2023-09-30,5266,Olist,Delivered,PayPal,31.59,Matthewville,Arkansas
02374a38-64bf-4034-967e-6cbfaed3f7fd,3252,standard,Toys,252.04,2,2022-11-23,9332,eBay,Pending,Bank Transfer,43.64,South Linda,Arizona
77745bf4-ed01-4e75-999a-f25f57cd8816,6948,discuss,Furniture,480.05,3,2024-09-20,8264,eBay,Pending,PayPal,6.78,Daniellehaven,Nevada
2537c981-eae8-452b-bd0a-908fc37b82b4,6717,yeah,Clothing,122.04,1,2022-03-15,2538,Amazon,Pending,Bank Transfer,21.03,Jacobschester,West Virginia
27db871d-58f5-49d1-a7e3-3533998f0b5b,2266,they,Books,434.80,6,2023-07-01,5412,eBay,Pending,PayPal,45.38,East Brittney,South Carolina
4bbeb803-4b72-4730-be84-99ba46eabb81,6295,animal,Books,79.76,6,2024-08-09,3130,Amazon,Pending,Bank Transfer,38.16,Ianfort,Rhode Island
b8b2e2bf-3857-481f-b7ee-730f8f71d3d7,7296,loss,Furniture,356.37,5,2024-03-05,5577,eBay,Pending,PayPal,35.75,Hoffmanport,Arizona
f5d17dd3-babf-46d9-afe3-867d142d1c25,4889,ok,Toys,297.73,3,2024-04-27,4505,Amazon,Delivered,Bank Transfer,19.00,Wardton,Washington
0e7f0239-d8b7-4e4f-a1a3-9035ce3213e8,6199,occur,Beauty,154.12,1,2023-08-15,7932,Amazon,Cancelled,Credit Card,29.09,Jodiburgh,Maryland
564ceb51-1fc3-4a5c-87c7-083415eaca19,5209,enjoy,Clothing,440.56,5,2021-10-23,5967,Olist,Delivered,Bank Transfer,38.67,Romerochester,New Mexico
8ff2f485-300e-4e14-8391-308e2d2a8de1,7166,politics,Books,13.15,8,2023-07-31,3138,Amazon,Pending,PayPal,30.19,West Daniel,Maine
a2d3f77d-27fd-432c-bba8-f958291ffeda,1858,major,Furniture,459.93,10,2023-04-01,144,Amazon,Pending,Credit Card,6.35,North Jennifershire,Kentucky
2f70b265-746c-442e-8c7a-a393b10ba0cd,6098,hot,Toys,34.32,1,2024-04-03,8637,Olist,Pending,Bank Transfer,46.79,Andersenville,Iowa
ba3d35f8-fc40-4b91-a2de-b28a4b45fec7,6341,must,Books,381.15,1,2022-10-21,3362,eBay,Delivered,Bank Transfer,35.54,Mirandaside,Nebraska
654a2490-a54d-4921-bf12-cbefe5b5a434,8696,her,Clothing,290.26,4,2024-03-31,8454,eBay,Delivered,Credit Card,6.35,Derekstad,Massachusetts
8a170c0e-71ed-4e0a-9974-6d5953b66f9a,3362,pressure,Beauty,11.76,1,2021-12-24,3879,eBay,Pending,Bank Transfer,38.92,South Thomasside,South Dakota
e9e81444-107d-4b33-af19-c2a7986421e7,7794,concern,Electronics,497.04,8,2024-03-07,8103,eBay,Cancelled,Bank Transfer,37.74,Port Darren,Ohio
02d9a2b2-7d9e-41eb-b6a6-681fc4e71d5b,1038,thus,Toys,134.86,8,2023-08-17,4475,eBay,Pending,Credit Card,35.43,New Kimberlyside,Delaware
99d8d55a-cfb3-41cf-937a-e29eff52ebbe,7052,care,Books,351.02,7,2024-06-24,6110,Olist,Delivered,Credit Card,25.58,Williamsonhaven,Maryland
ac7a75b7-a661-42f9-98d9-47374304403d,8851,prove,Electronics,152.18,8,2022-07-23,9781,Amazon,Pending,Credit Card,13.38,Gonzalesborough,Hawaii
d253fe3a-404d-46b4-9d5c-855dc08c3c59,8273,expert,Clothing,321.50,8,2022-05-16,2521,Olist,Cancelled,PayPal,21.07,Suttonborough,Florida
